epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1518.81,0.85564,2.22945,1.34673,0.77087,0.59072,0.55046,0.45931,0.67506,1.56556,1.22003,0.000276438,0.000276438,0.000276438
2,3185.4,0.72974,1.13612,1.23466,0.88298,0.58848,0.64439,0.53967,0.58724,1.05946,1.13995,0.000279823,0.000279823,0.000279823
